评分,评价,评论,日期,位置
5,超棒,位置也挺好，南京路100来米，边上都是小吃，商店很多，早餐味道也不错，虽然没有大洒店豪，胜在性价比高，酒店也是新装修，冬天去房间马桶也是智慧型，有加热，前台服务一流，总之非常棒的一次体验，以后来上海还选这家酒店！,2023年6月27日,浙江

5,超棒,干净 整洁 服务态度很好 交通方便,2023年11月12日,江苏

5,超棒,房间很干净，设施很新，设备齐全，服务温馨，态度非常好，我们带孩子，事情比较多，服务员不厌其烦帮忙解决。房间有自动马桶🚽，浴巾消毒机，消毒湿巾。好评，住过最温馨酒店。,2023年7月19日,浙江

5,超棒,端午节带孩子去上海游玩，在网上比较了很多酒店，最终选择了在步行街边的艺龙酒店。由于本人睡眠不好，怕吵，又带了一个孩子，酒店贴心的将心悦大床房免费升级成了豪华大床房，房间里的设施很全，也很卫生整洁，小度智能语音控制，孩子非常喜欢，自动关合窗帘，自动熄灯等等，马桶也是智能的，使用起来很方便。冰柜里的饮料三件套免费使用，还给孩子准备了儿童牙刷，拖鞋，酒店工作人员很热情，有问必答，真的是用心在服务。酒店就在步行街边上，离M豆、宝大祥、第一食品商店都很近，离地铁站也比较近，交通还是很便捷的。希望能够继续保持这种“以客户为中心”的服务理念，一定会得到顾客真心认可的，也祝愿酒店越来越好。（太高兴，房间忘拍照了，发些其他照片吧）展开,2023年6月24日,安徽

5,超棒,入住当天前台小姐姐很是暖心，特别安排了比较安静的楼层，几位工作人员服务态度都值得点赞（方言、可乐、浩文、吖咪）房间窗外景色很不错，酒店离南京步行街很近，去外滩也是步行过去即可，房间饮料免费赠喝，房间干净整洁，还给免费延迟退房到下午2点半，以后来上海都住艺龙酒店[强][强][强],2023年7月4日,上海

5,超棒,服务很到位，房型也是宽敞舒适，很适合一家三口,2023年10月29日,上海

5,超棒,方言，喜乐，伟涛服务好,2023年11月23日,上海

5,超棒,看了携程评价4.9分才选择的艺龙，非常惊喜！房间温馨、床品舒适，洗浴功能分区很合理！大堂吧有很多休息位，并有免费咖啡和茶品👍订了下午四点的高铁票，前台小哥哥帮忙申请了延时到下午两点退房！感谢酒店前台的方言、可乐、伟涛、南初，特别礼貌热情！下次来上海还要选择这里！,2023年6月22日,上海

5,超棒,房间服务很不错喜乐方言杰利亚米,2023年11月12日,上海

3.5,,房间比预想的要小，床单很干净，床有点硬，马桶也不能冲洗，半自动吧，洗漱用品也很一般般，服务很不错，夜间有点冷，服务员马上给拿来了电暖器！早餐很一般，基本没有新鲜菜，小馄炖不错👍，总体性价比一般,2023年12月30日,江苏

5,超棒,房间挺好，前台还帮忙免费升级了一间房，感谢方言跟可乐～晚上风景也很好,2023年10月2日,江苏

3,,照片我就不发了，酒店打扫卫生的应该很清楚，在浴室顶上全是一个个小飞虫，我不知道是潮湿的原因还是其他的原因，总体来说就这浴室有虫子让我很不满意，但是整体从员工的服务到大堂接待甚至楼道等等都无可挑剔，希望酒店针对房间卫生的打扫可以再细致一点,2023年12月18日,上海

4.2,,"酒店所处位置出行比较方便，5-10分钟就到南京路步行街，6分钟到南京东路地铁站，9分钟到人民广场地铁站。
这次第一次带孩子来上海浅逛三天，酒店特意升级了街景房，还可以看到魔都三件套的上海中心大厦、上海环球金融中心，太棒了。
前台的服务员非要好，入住相关讲解非常清楚，退房日早上很贴心为我们延迟了退房时间，离店时还送了小礼品。在此特别感谢岚岚、晴天、南初。
房间地板有点粘粘的感觉，然后孩子的睡衣换后可能没有叠好随意放在被子上，但我们回来后看到睡衣被原样放在枕头上了，其实不需要清洁阿姨帮忙叠好（当然阿姨也没有叠），但枕头不干净不应该放在上面，希望这些改善一下！
整体入住感觉好，下次还会选择。",2023年8月13日,上海

5,超棒,"房屋卫生干净整洁，毛巾放在消毒柜里，热水到位，服务到位，退房了才想起拍照，送了早餐，中式早餐比较正常，西式早餐一般般，房间饮料是免费喝的，大概是安排了整层楼唯一一间可以看见东方明珠的哈哈哈，好的房型先到是优先安排的😝
房间枕头不是有型护颈的那种，在意者慎选，倡导环保，没有提前准备一次性牙刷等，需要跟前台说噢
早上10:30的时候打了电话到房间，询问续住情况，不续住但主动安排了延迟退房，这点还是很贴心的
服务：方言",2023年6月23日,上海

5,超棒,酒店位置非常方便，附近有多条地铁线路，距离南京路步行街就隔一条马路，闹中取静！前台服务热情，房间卫生干净设施较新，早餐也丰富，周边的美食味道都不错，值得推荐！,2023年7月18日,湖南

5,超棒,位置跟环境都OK，服务很好，主动帮我们升级了房型，,2023年10月15日,上海

5,超棒,酒店位置真的很方便，地铁口附近，带着两个孩子出行非常方便，在房间就可以看到南京路步行街。早餐和服务都很满意，智能化的房间，很满意。,2023年8月3日,江苏

5,超棒,酒店房间很不错，地理位置也很好步行去外滩很方便，服务也很好有免费的水和饮料,2023年9月20日,上海

5,超棒,"出行前我选了好几天酒店，看中了这个离外滩近，地铁近，总的来说很满意。
晚上12点多才到酒店，位置挺好找的，酒店看起来很高级，淡淡的香氛味道。服务也很温暖。
会主动问男士有没有带剃须刀，没有的话会提供一次性的。订的是豪华城景大床，前台的服务帅哥还特意提醒，房间内的饮品都可以免费饮用😸😸😸
房间内都是智能的，小度可以解决大部分问题。另外房间的洗澡喷头水非常给力🙊
我老公最开心的是早上起了床，我们步行到外滩，欣赏美景，因为这次来玩时间真的非常紧，逛完就回酒店点外卖了。机器人小朋友一趟又一趟的送到房间门口，太nice了。
电梯旁还设置了可以免费饮用的矿泉水。
这次去上海特别渴，出了酒店就要去迪士尼，所以临走还拿了一瓶。🐵🙊🙊
特别感谢前台的一菲、东方、兰兰、童夏，临走还送到了门口。下次来还会选这里入住的。展开",2023年6月13日,江苏

5,超棒,"设施：相对来说比较齐全
卫生：干净整洁
环境：比较安静
服务：办理入住和寄存行李都很热情热心
位置不错，离南京路步行街和外滩步行均可",2023年7月30日,上海

5,超棒,出发前选了很长时间，最后选择了艺龙，这是一个非常棒的酒店，地理位置绝佳，离南京路步行街非常近，周边全是小吃。酒店卫生很棒，每个人服务态度超级棒，尤其是前台的小哥哥小姐姐必须要给一个大大的赞(热情，态度，礼貌等等全部满分)。下次来上海还会订这个酒店。,2023年7月1日,河北

4.5,不错,酒店位置挺好，比较适合游玩的来住，酒店早餐丰富，前台服务业也比较热情，但是会主动询问客户是否带了洗漱用品？带了就不给了吗，我觉得这个要不要酒店的洗漱包，应该是客户主动提吧，问的有点奇怪。。。唯一缺点就是房间稍微小了点，但还是挺干净的。,2023年12月7日,湖北

5,超棒,看中的是这个大窗户，楼层能再高点就更好了,2023年10月19日,浙江

5,超棒,酒店挺不错 推荐。可乐 杰利 米粒服务态度也很好,2023年10月9日,上海

4.5,不错,环境一般，墙纸都阴了，卫生一般，就是位置太好了！出门20米到南京路步行街，早餐人多极了，没有位置。味道还不错。机器人送外卖不错。,2023年7月31日,河北

4,,挺不错，服务卫生各方面都挺好的,2023年10月28日,浙江

4,,"靠近步行街，地铁站两个站都很近，去哪里玩都很方便的，这次带孩子们出来玩住这里很满意！！！
设施：可以
卫生：干净
环境：可以
服务：可以",2023年7月22日,海南

5,超棒,首先酒店的地址位置绝佳，五星⭐好评不是空穴来风滴～酒店里的环境，卫生，那也是绝对干净，早餐超级丰盛，前台的几个美女帅哥，都超级热情，服务周到。虽然航班延误，酒店房型满员的，但是第二天又免费升级高楼层房型，太给力了，上海的周末游好心情，大部分都是酒店的舒适带来滴！下次有机会还来入住哟,2023年6月11日,山东

5,超棒,酒店的位置非常好，走几步就到南京步行街，周边交通和游玩都很方便。酒店房间里有矿泉水和饮料，均免费。大堂坐坐也挺好。,2023年8月6日,浙江

5,超棒,酒店出门就是南京路，很方便酒店环境也很棒，早餐也比较人性化，很满意的一次体验，下次来上海还会选择这里，,2023年8月14日,山西

5,超棒,感谢升级了房间，在寸土寸金的上海，房间不大，性价比很高。安排的房间虽然窗外有工地，但是隔音很好。位置便利，到南京路步行或者骑行都可以。前台服务很热情，临走时送了小礼物。非常感谢😊,2023年6月13日,上海

5,超棒,位置很好，服务也很好，下楼就是步行街，游玩外卖都方便。延迟退房也很贴心，让我们中午可以午休。方言、小会、多米服务非常好！,2023年7月24日,上海

5,超棒,"设施：全屋智能，楼层电梯需要刷房卡，比较安全

卫生：房间里有毛巾消毒柜，这个好评！

环境：酒店位于南京路和人民广场商圈，步行去南京路，外滩都很方便，十分钟左右到达。

服务：工作人员态度都很好，给升级了楼层，临走还送了眼罩和护手霜，好评。",2023年11月26日,江苏

5,超棒,环境太好了👍没想到在上海还能订到这么满意的酒店 不管是服务和环境都很好 下次去还会选择这家 后悔没有早点定他们家  强烈推荐！有自带数据线还有熨烫机，真的很不错 很干净房间面积也很大  总之 性价比很高！！～～,2023年6月1日,上海

5,超棒,地理位置不错，出酒店就有很多吃的，步行20分钟就到外滩，服务也很不错，最方便的是外卖送餐不需要自己下楼取，管家或者机器人会很快送到房间。房间也挺干净整洁的，就是小了点，其他都还好。,2023年6月16日,上海

5,超棒,可乐，多米，米粒，浩浩。服务很好，下次再见。,2023年10月5日,浙江

5,超棒,这个酒店地理位置特别好，去南京路和外滩都很方便，以后再去上海玩，还会继续订，房间床上用品都特别干净，还有送了饮料，服务非常好！,2023年7月17日,上海

5,超棒,"设施：很奈斯

卫生：还行
环境：不错

服务：相当不错
酒店位置简直了，离那都很近，上海出行地铁无敌",2023年8月5日,上海

4,,"房间很干净，最最重要是我住过最安静的酒店。
地理位置很好，到步行街外滩都近，走时还送了小礼物，下次还会入住！",2023年7月31日,上海

5,超棒,交通极其便利，距离南京路，外滩，陆家嘴都很近，尽享上海便捷地铁和繁华都市节奏，房间舒适，卫生极佳，非常满意。,2023年8月2日,上海

5,超棒,地理位置不错 楼下全是吃饭的店 前台很热心 这次出行没有开车 不知道停车是否方便 房间挺新的 都是智能 隔音稍微差一点 只要不碰到大嗓门的人 基本可以接受 矿泉水 管够不像有些酒店抠抠搜搜的 总体还是很满意的,2023年11月21日,上海

5,超棒,"位置就在南京东路隔壁一条街。步行2分钟到达。
空调好像坏了。还好上海暂时还不要开空调睡觉。
楼下前台小姐姐很热情。会和每个人打招呼指引电梯。还送了蒸汽眼罩。
卫生：很干净。在外滩这个价格我觉得物超所值。",2023年11月26日,江苏

5,超棒,酒店房间很宽敞，设施很齐全，服务也很好，最重要就是下楼就是南京东路步行街，去哪里都很方便，非常满意。,2023年8月6日,黑龙江

5,超棒,干净舒适，景致也好，服务很好,2023年10月16日,江苏

2.2,,"优点：网速还可以，外卖不上楼。
缺点：

1.18号早上，我要出电梯，酒店工作人员直接进了，我问她你是酒店工作人员吗，电梯不应该是先下后上吗，你上来堵住了我怎么下？
2.如其他差评一样，厕所噪音巨大，上厕所会把同住人吵醒。楼道关门声巨大，早上经常被震醒。
3.退
房要好评，没写，然后打电话继续要好评。
不要给我打电话了，太烦了。",2023年11月19日,上海

5,超棒,房间设施各方面都不错，刚入住第一天，房间的位置不喜欢，去前台反应也立马帮忙换了，这两天生病需要喝很多水，凌晨打电话到前台，也非常高效率的通过机器人把水送到房间。总的来说是很好的入住体验。,2023年12月5日,上海

5,超棒,酒店很好，服务也好，离步行街和地铁都近。以后再来还住着。,2023年9月11日,吉林

5,超棒,这趟行程定的最满意的酒店，说实话他们家和隔壁房间应该是一样的。应该就是楼层的差别，他们顶楼11层，楼上应该是隔壁酒店的。一晚差了200左右。非常划算，地点无敌，下楼就是南京路步行街，外滩走着走10多分钟吧。周围小吃也多。酒店人员很热情，给升级了房间正好对着南京路，很棒。设施业也挺好。,2023年11月14日,浙江

5,超棒,在南京路步行街上能订到这样的酒店，真是大大的惊喜，房间非常的干净，很新，没有霉味儿、异味儿。床品和毛巾洁净雪白，每个屋子都配的毛巾消毒柜。从前台到打扫卫生的阿姨，都非常的热情，有困难马上会来笑盈盈帮你解决。不想出去吃饭，点外卖也很方便，直接用机器人给送到房间。非常推荐。,2023年11月12日,江苏

5,超棒,位置非常好.闹中取静的地方.一百米内就是南京路.外滩.一公里内人民广场.上海大剧院.再来必须还住这里.,2023年7月21日,上海

5,超棒,"来上海玩的不二选择，第二次入住艺龙了，整体我是很满意的，不管是从服务，环境，房间布局，卫生，地理位置等等方面都非常不错，酒店前面就是南京路步行街，背面是外滩，很方便。小琳，南初，方言，童夏服务热情、很赞！

特别值得说的三点：1.酒店大厅的果茶真的好喝的，我和我妹都很喜欢。 2.酒店整体的空间感让人觉得舒适度很强，楼层里的空调开的很足，走廊宽敞让人很舒服。3.房间里的沙发椅坐着真的非常舒服，坐着看着外面的夜景真的绝了。

但是有一点：马桶冲水声音真的巨大。",2023年7月12日,上海

5,超棒,服务热情，酒店地理位置好，地铁站附近出行方便，周边吃的多、逛的多，停了智慧街景双床房，窗外可遥看陆家嘴三件套，早餐品种丰富，味道不错，特别推荐小馄饨。,2023年6月20日,云南

5,超棒,酒店地理位置好，去外滩非常方便，楼下走几步就是南京路步行街，酒店周围有很多好吃的店，吃饭方便,2023年8月30日,甘肃

5,超棒,房间看出去景色很好👍，房间干净，隔音效果好，很安静。服务人员态度都很好，服务意识强！👍。早餐种类丰富，物美价廉！,2023年7月10日,江苏

5,超棒,交通便利，服务十分满意,2023年10月6日,江苏

5,超棒,房间很干净，开窗就可以看到三件套，前台小姐姐给免费延迟退房服务，给个大大的赞😄,2023年8月11日,上海

5,超棒,"酒店位置非常好，离人民广场、南京东路地铁站都很近，步行5分钟。出门几分钟就是步行街，离外滩也不远。房间较小，设施比较新，房间隔音不错，窗户关上几乎听不到街上噪音。唯一缺点是马桶的抽水声巨大。淋浴区小，洗完澡后喷溅到外面地板上都是水。
服务态度好。",2023年5月2日,上海

5,超棒,酒店位置很好，交通方便，去南京路步行街，外滩都不远，环境不错很干净，酒店的帅哥美女们服务都非常热情，值得推荐入住！,2023年7月7日,浙江

5,超棒,酒店各方面都很不错 地理位置好 距离南京路 M豆旗舰店 外滩都很近 周边吃的也多  服务也很到位  房间很干净  迪士尼回来后来又续住了一晚  晚上回来晚的餐厅还有免费夜宵  果断升级了酒店金卡会员,2023年5月2日,上海

5,超棒,酒店地理位置好，服务很好。距离外滩、豫园、城隍庙、静安寺等景点都很近，酒店坐落在南京路上。南京路上的店很密集，网红店很多，对于来上海旅游的好伙伴很友好，去哪里都很方便！,2023年5月20日,河北

5,超棒,酒店工作人员服务态度都很好，南京路中心地段，去外滩和南京路游玩都很方便，离地铁也不远，还是不错的,2023年7月17日,江苏

5,超棒,非常的满意！干湿分离做的很好！窗外景色也不错！整体环境都很棒！早餐也很可口！非常满意的一次居住，以后还会选择！,2023年6月30日,上海

5,超棒,"酒店地理位置好，出行很方便。
酒店工作人员很热情。
房间卫生干净，设施齐全。
机器人送餐很方便呢。",2023年7月9日,上海

5,超棒,酒店不错，挺干净的房型也可以，这个地理位置来说性价比很高，前台办理也很快，当时去的早房间还没打扫出来，服务员帮我办理了行李寄存，特别表扬服务员吖咪和兰兰服务态度很好,2023年7月3日,安徽

5,超棒,服务不错，房间也干净，设施也比较新，离南京路很近，买什么都方便离外滩也近，再次感谢方言、多米，可乐，天生，这四位小伙伴。有机会会推荐给朋友入住的。,2023年5月28日,上海

5,超棒,房间很干净。就是夏天了被子有点厚了。有点热。还有电梯口上没有标楼层号。有点不方便，,2023年7月20日,浙江

5,超棒,位置优越。机场地铁直达，出地铁口正值午时，路过三玛璐酒楼，品鉴正宗上海菜，再走个五分钟到达酒店。酒店在路口，紧挨Ihg，前台入住效率ok，房间宽大，尤其窗户很大，看着很透亮舒适。下楼出去玩和回来，三位前台都会一起问好，服务态度优秀，有服务人员一起乘梯，会让住客先行。我没买带早餐的，早上睡个懒觉去吃蟹黄包也不错。好评。,2023年6月4日,黑龙江

5,超棒,地理位置很好，离地铁很近，就在南京路步行街旁。总体感觉不错,2023年8月13日,广东

5,超棒,位置地段极佳，服务好，多谢方言，多米，小会，伟涛的热情服务。,2023年8月15日,上海

5,超棒,酒店大堂不大，前台稍微有点挤，导致服务稍慢，但是工作人员态度十分好，服务很周到，机器人🤖送餐也很迅速，房间干净舒适，总体住得开心，近人民广场，南京路，地铁站也挺近的，出入方便,2023年5月3日,浙江

3,,服务是很好，就是卫生太差了，毛巾有头发,2023年9月24日,福建

5,超棒,挺不错的，服务挺好，房间设施也可以，卫生做的到位～ 除了房间面积小点别的没毛病～,2023年7月15日,江苏

5,超棒,非常干净非常好,2023年9月23日,中国香港

5,超棒,"房间卫生条件很好
设施比较新
前台不知道哪个小哥哥态度很好 
还送了早餐 
早餐也是yyds",2023年7月24日,江苏

5,超棒,"服务：满意，方言 兰兰可乐吖咪。挺好
设施：可以",2023年8月12日,上海

5,超棒,位置绝佳，步行至南京路步行街2分钟时间，周边便利店、水果店、餐厅、小超市一应俱全，楼层高很安静，房间隔音效果不错，定的智慧房有小度很方便，房间能看见一部分上海中心大厦，前台服务热情，客房和其他工作人员会主动打招呼，屋内有免费饮料，床品很舒服,2023年4月22日,北京

5,超棒,房间很舒适，落地大窗特别明亮，很好,2023年8月26日,上海

5,超棒,入住体验非常的棒，酒店给做了免费升级，太阳缓缓从东方明珠升起刚好可以从房间窗户看到，服务也很热情，房间设施设备都很齐全，位置也十分便捷，下次去上海还会选择艺龙酒店,2023年6月13日,云南

5,超棒,"总体体验非常不错。
设施：还是很新的；
卫生：房间卫生做的很好，可惜楼梯间那边各个角落垃圾比较多，看到感觉还是不太好；
环境：城景还是相当不错的，只是刚好前面世茂广场在施工重建；
服务：早上离开酒店前跟前台沟通出了点问题，玩了一天到下一家酒店很晚才发现行李怎么还没寄到，联系了前台才知道是理解有错，前台马上帮忙叫了闪送将行李寄过来，虽然晚了一点但这个服务确实该点赞！👍👍",2023年4月8日,上海

5,超棒,"房间干净户型也不错，望出去是南京路步行街，但隔音很好，不吵。 前台服务很好，看见有小孩会主动提供儿童拖鞋牙刷，走时还送了玩具，也会主动说有早餐优惠。特别是浩浩
我们半夜打给前台说要换枕头也能很快就送上来。",2023年10月4日,广东

5,超棒,服务很好  员工都很热情,2023年9月5日,上海

5,超棒,南初。蓝蓝。多米服务很好,2023年9月4日,上海

5,超棒,"服务：很热情
环境：不错，离外滩很近
设施：齐全",2023年8月6日,浙江

5,超棒,酒店非常不错，干净整洁。感谢方言，小会，杰利的热心接待,2023年9月13日,广东

5,超棒,"房间装修简约干净 毛巾都在消毒柜里 还有手持熨烫机 好评

价格合适 地理位置十分优越 紧挨南京路步行街 周围很多好吃的",2023年5月29日,上海

3,,三星的评价主要是不想酒店再打电话来啰啰嗦嗦。优点还是有，地理位置优越，就在南京街步行街对面，吃饭购物都很方便，离外滩、城隍庙、东方明珠都不远。服务也还算热情，有些小困难能够满足的也会积极提供。那么缺点也还是不少。之前选酒店的时候看了几个差评，有几个方面还是比较客观真实。1.地板很黏，不知道是没打扫干净还是本身就是那种，反正是第一次遇到；2.马桶冲水声音超级大，属于一人起夜全家叫醒的那种；3.洗澡间有黑色小飞虫，数量还不少，这个是家人非常反感的，说了几次一定要给差评！这也是我们第一次遇到。总体来说这个价位的酒店，硬件设施和问题还是需要重视和提高吧。还有一个第一次就是离店第二天就会接到酒店的电话和短信，还问家庭地址说要寄份礼物，我想大可不必，既然有礼物退房的时候为啥不给呢？目的就大家都清楚嘛。展开,2023年10月11日,重庆

5,超棒,环境干净，出行方便，出门就是南京路步行街，外卖有机器人送到客房门口，小朋友比较喜欢,2023年7月3日,安徽

5,超棒,酒店环境很不错，服务态度很好！房间大小还可以，装修比较新，智能窗帘在插卡后会自动打开，窗外美景映入眼帘。马桶也是智能的，使用很方便便捷。房间设施可以通过小度语音控制，早上还可以叫醒服务，真的很不错👍。酒店到南京路步行街很近，逛街购物很方便！,2023年4月2日,浙江

5,超棒,位置优越很好找，房间卫生干净，服务态度好，特别是方言、乐方、可乐、小琳等很赞，会推荐给朋友以后有机会还会再来。,2023年6月5日,安徽

5,超棒,前台服务人员都很热情，房间也很干净，清洁人员每天都有认真打扫！因为一个人旅游，出去的比较早，服务人员看到了都会打招呼。特别是最后一天赶飞机，箱子突然关不上了，最后是前台找了根结实的绳子帮我解决了问题。整个住宿期间感觉都很棒，下次来还会住这里！,2023年10月3日,湖南

5,超棒,房间干净 安静！方言、小会、杰利服务很好！,2023年9月12日,上海

3,,卫生：很多飞虫，卫生间更多。,2023年8月23日,上海

5,超棒,服务很好，位置很好找,2023年9月2日,黑龙江

5,超棒,"设施：满意
设施：满意
卫生：好
环境：可以可以可以
服务：满意满意，方言 浩浩 玲珑 多米，服务热情，
服务：好
设施：好好
环境：好，交通便利
出门是步行街，外滩距离很近",2023年4月23日,上海

5,超棒,"首先酒店的位置非常棒，酒店入口正前方就是南京步行街，出酒店往右直走十来分钟就到外滩观景大道中间还能路过天主教堂，酒店背后的往左走不远就是人民广场，非常漂亮，还有kfc和平店（这家kfc有早餐供应还不涨价），位置真的太便利了，地铁也不远，一个在南京路东路，一个在人民广场。
然后说一下酒店，入住和退房都是下午2点如果有特殊要求可以和前台说，会尽量满足，我们的是9楼的街景房白天晚上的视野都很好，也不吵，床很舒适，内部简约风格但又不普通，一切都很新，酒店房间的照片和实际的一样，冰箱的饮料都是免费饮用，还配有杯装的红茶绿茶很方便，马桶是智能马桶，还配有洗衣房，健身房，下次来还住艺龙，",2023年3月28日,山东

5,超棒,房间空间大，电动窗帘，开放式洗漱，关键是酒店位置好，旁边就是南京路步行街和来福士，周边吃饭的也很多，晚上叫了外卖，前台用机器人送上来的😄,2024年1月2日,北京

